Date,Open,High,Low,Close,Adj Close,Volume,,log volatlity,app volatility,log^2,app^2,log daily,app daily,log year,app year,^2 * W,EWMA var,EWMA daily (daily 아니고 annual이라고 함!),,람다,=,0.94
2018-11-02,2745.449951,2756.550049,2700.439941,2723.060059,2723.060059,4237930000,,,,,,,,,,,,,i,1-람다,람다^i,(1-람다)람다^i
2018-11-05,2726.370117,2744.27002,2717.939941,2738.310059,2738.310059,3623320000,,0.005584694,0.005600317,3.12E-05,3.14E-05,0.016866403,0.016815326,0.267745841,0.266935025,6.89E-20,0.000183822,0.215228047,500,0.06,3.66E-14,2.20E-15
2018-11-06,2738.399902,2756.820068,2737.080078,2755.449951,2755.449951,3510860000,,0.006239788,0.006259296,3.89E-05,3.92E-05,0.016881413,0.016830275,,,9.16E-20,0.000183822,,499,0.06,3.90E-14,2.34E-15
2018-11-07,2774.129883,2815.149902,2774.129883,2813.889893,2813.889893,3914750000,,0.020987079,0.021208856,0.000440457,0.000449816,0.016896011,0.016844807,,,1.12E-18,0.000183822,,498,0.06,4.15E-14,2.49E-15
2018-11-08,2806.379883,2814.75,2794.98999,2806.830078,2806.830078,3630490000,,-0.002512069,-0.002508917,6.31E-06,6.29E-06,0.016886799,0.016835185,,,1.67E-20,0.000183822,,497,0.06,4.41E-14,2.65E-15
2018-11-09,2794.100098,2794.100098,2764.23999,2781.01001,2781.01001,4019090000,,-0.009241586,-0.009199014,8.54E-05,8.46E-05,0.016903404,0.016851737,,,2.38E-19,0.000183822,,496,0.06,4.69E-14,2.82E-15
2018-11-12,2773.929932,2775.98999,2722,2726.219971,2726.219971,3670930000,,-0.019898151,-0.019701489,0.000395936,0.000388149,0.016915346,0.016863635,,,1.16E-18,0.000183822,,495,0.06,4.99E-14,3.00E-15
2018-11-13,2730.050049,2754.600098,2714.97998,2722.179932,2722.179932,4091440000,,-0.001483019,-0.00148192,2.20E-06,2.20E-06,0.016908787,0.016857185,,,7.00E-21,0.000183822,,494,0.06,5.31E-14,3.19E-15
2018-11-14,2737.899902,2746.800049,2685.75,2701.580078,2701.580078,4402370000,,-0.007596189,-0.007567411,5.77E-05,5.73E-05,0.016925761,0.016874107,,,1.94E-19,0.000183822,,493,0.06,5.65E-14,3.39E-15
2018-11-15,2693.52002,2735.379883,2670.75,2730.199951,2730.199951,4179140000,,0.010538033,0.010593753,0.00011105,0.000112228,0.016939464,0.01688776,,,4.05E-19,0.000183822,,492,0.06,6.01E-14,3.61E-15
2018-11-16,2718.540039,2746.75,2712.159912,2736.27002,2736.27002,3975180000,,0.002220838,0.002223306,4.93E-06,4.94E-06,0.016950014,0.016898201,,,1.90E-20,0.000183822,,491,0.06,6.39E-14,3.84E-15
2018-11-19,2730.73999,2733.159912,2681.090088,2690.72998,2690.72998,3772900000,,-0.016783162,-0.016643109,0.000281675,0.000276993,0.01696697,0.016915103,,,1.13E-18,0.000183822,,490,0.06,6.80E-14,4.08E-15
2018-11-20,2654.600098,2669.439941,2631.52002,2641.889893,2641.889893,4357900000,,-0.018317995,-0.018151241,0.000335549,0.000329468,0.016967343,0.016915512,,,1.43E-18,0.000183822,,489,0.06,7.24E-14,4.34E-15
2018-11-21,2657.73999,2670.72998,2649.820068,2649.929932,2649.929932,3233550000,,0.003038669,0.003043291,9.23E-06,9.26E-06,0.01696447,0.016912709,,,4.28E-20,0.000183822,,488,0.06,7.70E-14,4.62E-15
2018-11-23,2633.360107,2647.550049,2631.090088,2632.560059,2632.560059,1651650000,,-0.00657642,-0.006554842,4.32E-05,4.30E-05,0.016981286,0.016929469,,,2.11E-19,0.000183822,,487,0.06,8.19E-14,4.91E-15
2018-11-26,2649.969971,2674.350098,2649.969971,2673.449951,2673.449951,3443950000,,0.015412976,0.015532368,0.00023756,0.000241254,0.016996099,0.016944229,,,1.26E-18,0.000183822,,486,0.06,8.71E-14,5.23E-15
2018-11-27,2663.75,2682.530029,2655.889893,2682.169922,2682.169922,3485220000,,0.003256384,0.003261692,1.06E-05,1.06E-05,0.016999205,0.016947125,,,5.92E-20,0.000183822,,485,0.06,9.27E-14,5.56E-15
2018-11-28,2691.449951,2744,2684.379883,2743.790039,2743.790039,3951670000,,0.022714051,0.02297398,0.000515928,0.000527804,0.017016078,0.016963942,,,3.12E-18,0.000183822,,484,0.06,9.86E-14,5.92E-15
2018-11-29,2736.969971,2753.75,2722.939941,2737.800049,2737.800049,3560770000,,-0.002185494,-0.002183108,4.78E-06,4.77E-06,0.017002329,0.016949681,,,3.00E-20,0.000183822,,483,0.06,1.05E-13,6.29E-15
2018-11-30,2737.76001,2760.879883,2732.76001,2760.169922,2760.169922,4658580000,,0.008137548,0.008170748,6.62E-05,6.68E-05,0.01701963,0.016966927,,,4.47E-19,0.000183822,,482,0.06,1.12E-13,6.70E-15
2018-12-03,2790.5,2800.179932,2773.379883,2790.370117,2790.370117,4186060000,,0.010882002,0.010941426,0.000118418,0.000119715,0.017033244,0.016980457,,,8.53E-19,0.000183822,,481,0.06,1.19E-13,7.12E-15
2018-12-04,2782.429932,2785.929932,2697.179932,2700.060059,2700.060059,4499840000,,-0.032900229,-0.032364903,0.001082425,0.001047487,0.01704372,0.016990816,,,7.94E-18,0.000183822,,480,0.06,1.26E-13,7.58E-15
2018-12-06,2663.51001,2696.149902,2621.530029,2695.949951,2695.949951,5141470000,,-0.001523388,-0.001522228,2.32E-06,2.32E-06,0.01699525,0.016943158,,,1.87E-20,0.000183822,,479,0.06,1.34E-13,8.06E-15
2018-12-07,2691.26001,2708.540039,2623.139893,2633.080078,2633.080078,4216690000,,-0.023596335,-0.023320119,0.000556787,0.000543828,0.017012839,0.016960692,,,4.66E-18,0.000183822,,478,0.06,1.43E-13,8.58E-15
2018-12-10,2630.860107,2647.51001,2583.22998,2637.719971,2637.719971,4151030000,,0.001760603,0.001762154,3.10E-06,3.11E-06,0.016996393,0.016944486,,,2.83E-20,0.000183822,,477,0.06,1.52E-13,9.12E-15
2018-12-11,2664.439941,2674.350098,2621.300049,2636.780029,2636.780029,3905870000,,-0.00035641,-0.000356346,1.27E-07,1.27E-07,0.017014008,0.016962047,,,1.23E-21,0.000183822,,476,0.06,1.62E-13,9.71E-15
2018-12-12,2658.22998,2685.439941,2650.26001,2651.070068,2651.070068,3958890000,,0.005404871,0.005419504,2.92E-05,2.94E-05,0.017031863,0.016979847,,,3.03E-19,0.000183822,,475,0.06,1.72E-13,1.03E-14
2018-12-13,2658.699951,2670.189941,2637.27002,2650.540039,2650.540039,3927720000,,-0.00019995,-0.00019993,4.00E-08,4.00E-08,0.017047978,0.016995897,,,4.39E-22,0.000183822,,474,0.06,1.83E-13,1.10E-14
2018-12-14,2629.679932,2635.070068,2593.840088,2599.949951,2599.949951,4035020000,,-0.019271212,-0.01908671,0.00037138,0.000364302,0.017065949,0.017013813,,,4.26E-18,0.000183822,,473,0.06,1.95E-13,1.17E-14
2018-12-17,2590.75,2601.129883,2530.540039,2545.939941,2545.939941,4616350000,,-0.020992285,-0.020773481,0.000440676,0.000431537,0.017060985,0.017008943,,,5.36E-18,0.000183822,,472,0.06,2.07E-13,1.24E-14
2018-12-18,2559.899902,2573.98999,2528.709961,2546.159912,2546.159912,4470880000,,8.64E-05,8.64E-05,7.46E-09,7.47E-09,0.017051694,0.016999798,,,9.87E-23,0.000183822,,471,0.06,2.20E-13,1.32E-14
2018-12-19,2547.050049,2585.290039,2488.959961,2506.959961,2506.959961,5127940000,,-0.015515459,-0.015395714,0.000240729,0.000237028,0.017069785,0.017017834,,,3.33E-18,0.000183822,,470,0.06,2.34E-13,1.41E-14
2018-12-20,2496.77002,2509.629883,2441.179932,2467.419922,2467.419922,5585780000,,-0.015897809,-0.015772106,0.00025274,0.000248759,0.017072942,0.017021005,,,3.72E-18,0.000183822,,469,0.06,2.49E-13,1.50E-14
2018-12-21,2465.379883,2504.409912,2408.550049,2416.620117,2416.620117,7609010000,,-0.020803121,-0.020588228,0.00043277,0.000423875,0.017075361,0.017023445,,,6.75E-18,0.000183822,,468,0.06,2.65E-13,1.59E-14
2018-12-24,2400.560059,2410.340088,2351.100098,2351.100098,2351.100098,2613930000,,-0.027486573,-0.027112254,0.000755512,0.000735074,0.017066524,0.017014749,,,1.25E-17,0.000183822,,467,0.06,2.82E-13,1.69E-14
2018-12-26,2363.120117,2467.76001,2346.580078,2467.699951,2467.699951,4233990000,,0.048403177,0.049593743,0.002342868,0.002459539,0.017037375,0.016986044,,,4.43E-17,0.000183822,,466,0.06,3.00E-13,1.80E-14
2018-12-27,2442.5,2489.100098,2397.939941,2488.830078,2488.830078,4096610000,,0.008526229,0.008562681,7.27E-05,7.33E-05,0.016907614,0.016852064,,,1.41E-18,0.000183822,,465,0.06,3.19E-13,1.92E-14
2018-12-28,2498.77002,2520.27002,2472.889893,2485.73999,2485.73999,3702620000,,-0.001242354,-0.001241583,1.54E-06,1.54E-06,0.016921166,0.016865521,,,3.14E-20,0.000183822,,464,0.06,3.40E-13,2.04E-14
2018-12-31,2498.939941,2509.23999,2482.820068,2506.850098,2506.850098,3442870000,,0.008456626,0.008492484,7.15E-05,7.21E-05,0.016939292,0.016883586,,,1.56E-18,0.000183822,,463,0.06,3.62E-13,2.17E-14
2019-01-02,2476.959961,2519.48999,2467.469971,2510.030029,2510.030029,3733160000,,0.001267693,0.001268497,1.61E-06,1.61E-06,0.01695302,0.01689722,,,3.71E-20,0.000183822,,462,0.06,3.85E-13,2.31E-14
2019-01-03,2491.919922,2493.139893,2443.959961,2447.889893,2447.889893,3822860000,,-0.025068332,-0.02475673,0.000628421,0.000612896,0.016971255,0.016915394,,,1.50E-17,0.000183822,,461,0.06,4.09E-13,2.46E-14
2019-01-04,2474.330078,2538.070068,2474.330078,2531.939941,2531.939941,4213410000,,0.033759399,0.034335714,0.001139697,0.001178941,0.016949487,0.016893931,,,3.08E-17,0.000183822,,460,0.06,4.35E-13,2.61E-14
2019-01-07,2535.610107,2566.159912,2524.560059,2549.689941,2549.689941,4104710000,,0.006985976,0.007010435,4.88E-05,4.91E-05,0.016894734,0.016837609,,,1.37E-18,0.000183822,,459,0.06,4.63E-13,2.78E-14
2019-01-08,2568.110107,2579.820068,2547.560059,2574.409912,2574.409912,4083030000,,0.009648587,0.009695285,9.31E-05,9.40E-05,0.016909984,0.016852776,,,2.78E-18,0.000183822,,458,0.06,4.93E-13,2.96E-14
2019-01-09,2580,2595.320068,2568.889893,2584.959961,2584.959961,4052480000,,0.004089671,0.004098046,1.67E-05,1.68E-05,0.01692243,0.01686511,,,5.28E-19,0.000183822,,457,0.06,5.24E-13,3.14E-14
2019-01-10,2573.51001,2597.820068,2562.02002,2596.639893,2596.639893,3704500000,,0.004508242,0.004518419,2.03E-05,2.04E-05,0.016939855,0.016882465,,,6.83E-19,0.000183822,,456,0.06,5.58E-13,3.35E-14
2019-01-11,2588.110107,2596.27002,2577.399902,2596.26001,2596.26001,3434490000,,-0.000146309,-0.000146298,2.14E-08,2.14E-08,0.016957105,0.016899645,,,7.62E-22,0.000183822,,455,0.06,5.93E-13,3.56E-14
2019-01-14,2580.310059,2589.320068,2570.409912,2582.610107,2582.610107,3664450000,,-0.005271395,-0.005257525,2.78E-05,2.76E-05,0.016975727,0.016918205,,,1.05E-18,0.000183822,,454,0.06,6.31E-13,3.79E-14
2019-01-15,2585.100098,2613.080078,2585.100098,2610.300049,2610.300049,3572330000,,0.010664619,0.010721689,0.000113734,0.000114955,0.016992612,0.016935024,,,4.63E-18,0.000183822,,453,0.06,6.71E-13,4.03E-14
2019-01-16,2614.75,2625.76001,2612.679932,2616.100098,2616.100098,3863770000,,0.002219521,0.002221986,4.93E-06,4.94E-06,0.017003976,0.01694626,,,2.12E-19,0.000183822,,452,0.06,7.14E-13,4.28E-14
2019-01-17,2609.280029,2645.060059,2606.360107,2635.959961,2635.959961,3772270000,,0.007562731,0.0075914,5.72E-05,5.76E-05,0.017022455,0.016964674,,,2.63E-18,0.000183822,,451,0.06,7.60E-13,4.56E-14
2019-01-18,2651.27002,2675.469971,2647.580078,2670.709961,2670.709961,3986730000,,0.013096913,0.013183053,0.000171529,0.000173793,0.017037595,0.016979724,,,8.43E-18,0.000183822,,450,0.06,8.08E-13,4.85E-14
2019-01-22,2657.879883,2657.879883,2617.27002,2632.899902,2632.899902,3908030000,,-0.014258477,-0.014157306,0.000203304,0.000200429,0.017045338,0.01698729,,,1.03E-17,0.000183822,,449,0.06,8.60E-13,5.16E-14
2019-01-23,2643.47998,2653.189941,2612.860107,2638.699951,2638.699951,3335610000,,0.00220049,0.002202913,4.84E-06,4.85E-06,0.017051037,0.016992972,,,2.66E-19,0.000183822,,448,0.06,9.15E-13,5.49E-14
2019-01-24,2638.840088,2647.199951,2627.01001,2642.330078,2642.330078,3433250000,,0.00137478,0.001375726,1.89E-06,1.89E-06,0.017069739,0.017011609,,,1.11E-19,0.000183822,,447,0.06,9.73E-13,5.84E-14
2019-01-25,2657.439941,2672.379883,2657.330078,2664.76001,2664.76001,3814080000,,0.008452868,0.008488694,7.15E-05,7.21E-05,0.017088699,0.017030503,,,4.48E-18,0.000183822,,446,0.06,1.04E-12,6.21E-14
2019-01-28,2644.969971,2644.969971,2624.060059,2643.850098,2643.850098,3612810000,,-0.007877776,-0.007846827,6.21E-05,6.16E-05,0.017103163,0.017044866,,,4.07E-18,0.000183822,,445,0.06,1.10E-12,6.61E-14
2019-01-29,2644.889893,2650.929932,2631.050049,2640,2640,3504200000,,-0.001457308,-0.001456247,2.12E-06,2.12E-06,0.017118296,0.017059936,,,1.49E-19,0.000183822,,444,0.06,1.17E-12,7.03E-14
2019-01-30,2653.620117,2690.439941,2648.340088,2681.050049,2681.050049,3867810000,,0.01542961,0.015549261,0.000238073,0.00024178,0.017137423,0.017078997,,,1.81E-17,0.000183822,,443,0.06,1.25E-12,7.48E-14
2019-01-31,2685.48999,2708.949951,2678.649902,2704.100098,2704.100098,4917650000,,0.008560649,0.008597396,7.33E-05,7.39E-05,0.017141086,0.017082417,,,5.88E-18,0.000183822,,442,0.06,1.33E-12,7.96E-14
2019-02-01,2702.320068,2716.659912,2696.879883,2706.530029,2706.530029,3759270000,,0.000898206,0.00089861,8.07E-07,8.08E-07,0.017155634,0.017096861,,,6.83E-20,0.000183822,,441,0.06,1.41E-12,8.46E-14
2019-02-04,2706.48999,2724.98999,2698.75,2724.870117,2724.870117,3359840000,,0.006753381,0.006776237,4.56E-05,4.59E-05,0.01717502,0.017116181,,,4.13E-18,0.000183822,,440,0.06,1.50E-12,9.00E-14
2019-02-05,2728.340088,2738.97998,2724.030029,2737.699951,2737.699951,3560430000,,0.00469737,0.00470842,2.21E-05,2.22E-05,0.017191512,0.017132585,,,2.12E-18,0.000183822,,439,0.06,1.60E-12,9.58E-14
2019-02-06,2735.050049,2738.080078,2724.149902,2731.610107,2731.610107,3472690000,,-0.002226916,-0.002224438,4.96E-06,4.95E-06,0.017209621,0.017150619,,,5.04E-19,0.000183822,,438,0.06,1.70E-12,1.02E-13
2019-02-07,2717.530029,2719.320068,2687.26001,2706.050049,2706.050049,4099490000,,-0.009401193,-0.00935714,8.84E-05,8.76E-05,0.017228927,0.017169857,,,9.49E-18,0.000183822,,437,0.06,1.81E-12,1.08E-13
2019-02-08,2692.360107,2708.070068,2681.830078,2707.879883,2707.879883,3622330000,,0.000675973,0.000676201,4.57E-07,4.57E-07,0.017242764,0.017183634,,,5.27E-20,0.000183822,,436,0.06,1.92E-12,1.15E-13
2019-02-11,2712.399902,2718.050049,2703.790039,2709.800049,2709.800049,3361970000,,0.000708852,0.000709103,5.02E-07,5.03E-07,0.017262496,0.017203298,,,6.17E-20,0.000183822,,435,0.06,2.04E-12,1.23E-13
2019-02-12,2722.610107,2748.189941,2722.610107,2744.72998,2744.72998,3827770000,,0.012807853,0.012890225,0.000164041,0.000166158,0.017282294,0.017223027,,,2.17E-17,0.000183822,,434,0.06,2.18E-12,1.31E-13
2019-02-13,2750.300049,2761.850098,2748.629883,2753.030029,2753.030029,3670770000,,0.003019432,0.003023995,9.12E-06,9.14E-06,0.017291266,0.017231823,,,1.27E-18,0.000183822,,433,0.06,2.31E-12,1.39E-13
2019-02-14,2743.5,2757.899902,2731.22998,2745.72998,2745.72998,3836700000,,-0.002655163,-0.002651642,7.05E-06,7.03E-06,0.017310614,0.017251099,,,1.04E-18,0.000183822,,432,0.06,2.46E-12,1.48E-13
2019-02-15,2760.23999,2775.659912,2760.23999,2775.600098,2775.600098,3641370000,,0.010820005,0.010878753,0.000117073,0.000118347,0.017330167,0.017270582,,,1.86E-17,0.000183822,,431,0.06,2.62E-12,1.57E-13
2019-02-19,2769.280029,2787.330078,2767.290039,2779.76001,2779.76001,3533710000,,0.001497621,0.001498743,2.24E-06,2.25E-06,0.01734243,0.017282707,,,3.75E-19,0.000183822,,430,0.06,2.79E-12,1.67E-13
2019-02-20,2779.050049,2789.879883,2774.060059,2784.699951,2784.699951,3835450000,,0.001775533,0.001777111,3.15E-06,3.16E-06,0.017362434,0.01730264,,,5.62E-19,0.000183822,,429,0.06,2.96E-12,1.78E-13
2019-02-21,2780.23999,2781.580078,2764.550049,2774.879883,2774.879883,3559710000,,-0.003532669,-0.003526437,1.25E-05,1.24E-05,0.017382446,0.017322583,,,2.35E-18,0.000183822,,428,0.06,3.15E-12,1.89E-13
2019-02-22,2780.669922,2794.199951,2779.110107,2792.669922,2792.669922,3427810000,,0.006390639,0.006411102,4.08E-05,4.11E-05,0.017401903,0.017341968,,,8.27E-18,0.000183822,,427,0.06,3.35E-12,2.01E-13
2019-02-25,2804.350098,2813.48999,2794.98999,2796.110107,2796.110107,3804380000,,0.001231104,0.001231862,1.52E-06,1.52E-06,0.017419523,0.0173595,,,3.25E-19,0.000183822,,426,0.06,3.57E-12,2.14E-13
2019-02-26,2792.360107,2803.120117,2789.469971,2793.899902,2793.899902,3645680000,,-0.00079077,-0.000790457,6.25E-07,6.25E-07,0.017439855,0.01737976,,,1.42E-19,0.000183822,,425,0.06,3.80E-12,2.28E-13
