period 0,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8,,
,,,,,,,,7829.766547,,S
,,,,,,,,114.1663787,,V
,,,,,,,,0,,delta
,,,,,,,7030.92794,,,
,,,,,,,108.0189686,,,
,,,,,,,0,,,
,,,,,,,,6313.591524,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,6313.591524,,,,
,,,,,,102.7302732,,,,
,,,,,,0,,,,
,,,,,,,,6313.591524,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,,5669.441967,,,
,,,,,,,108.0189686,,,
,,,,,,,0,,,
,,,,,,,,5091.012317,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,5669.441967,,,,,
,,,,,98.22952644,,,,,
,,,,,0,,,,,
,,,,,,,,6313.591524,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,,5669.441967,,,
,,,,,,,108.0189686,,,
,,,,,,,0,,,
,,,,,,,,5091.012317,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,5091.012317,,,,
,,,,,,102.7302732,,,,
,,,,,,0,,,,
,,,,,,,,5091.012317,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,108.0189686,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,5091.012317,,,,,,
,,,,94.40758727,,,,,,
,,,,9.34E-06,,,,,,
,,,,,,,,6313.591524,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,,5669.441967,,,
,,,,,,,108.0189686,,,
,,,,,,,0,,,
,,,,,,,,5091.012317,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,5091.012317,,,,
,,,,,,102.7302732,,,,
,,,,,,0,,,,
,,,,,,,,5091.012317,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,108.0189686,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,4571.597446,,,,,
,,,,,98.21927763,,,,,
,,,,,3.46E-05,,,,,
,,,,,,,,5091.012317,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,108.0189686,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,4105.176319,,,,
,,,,,,102.696182,,,,
,,,,,,0.000140529,,,,
,,,,,,,,4105.176319,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,107.8945646,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,113.6663787,,
,,,,,,,,0,,
,,,4571.597446,,,,,,,
,,,90.96221019,,,,,,,
,,,0.00012926,,,,,,,
,,,,,,,,6313.591524,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,,5669.441967,,,
,,,,,,,108.0189686,,,
,,,,,,,0,,,
,,,,,,,,5091.012317,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,5091.012317,,,,
,,,,,,102.7302732,,,,
,,,,,,0,,,,
,,,,,,,,5091.012317,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,108.0189686,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,4571.597446,,,,,
,,,,,98.21927763,,,,,
,,,,,3.46E-05,,,,,
,,,,,,,,5091.012317,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,108.0189686,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,4105.176319,,,,
,,,,,,102.696182,,,,
,,,,,,0.000140529,,,,
,,,,,,,,4105.176319,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,107.8945646,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,113.6663787,,
,,,,,,,,0,,
,,,,4105.176319,,,,,,
,,,,94.28015856,,,,,,
,,,,0.00041884,,,,,,
,,,,,,,,5091.012317,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,,4571.597446,,,
,,,,,,,108.0189686,,,
,,,,,,,0,,,
,,,,,,,,4105.176319,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,4105.176319,,,,
,,,,,,102.696182,,,,
,,,,,,0.000140529,,,,
,,,,,,,,4105.176319,,
,,,,,,,,114.1663787,,
,,,,,,,,0,,
,,,,,,,3686.342206,,,
,,,,,,,107.8945646,,,
,,,,,,,0.000628981,,,
,,,,,,,,3310.24,,
,,,,,,,,113.6663787,,
,,,,,,,,0,,
