period 0,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,0,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,9.34E-06,,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,3.46E-05,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0.000140529,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,0.00012926,,,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,3.46E-05,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0.000140529,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,,0.00041884,,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0.000140529,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,,,0.001457988,,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,,,,0.002938339,,
,,,,,,,,0
,,,,,,,0.001560055,
,,,,,,,,0
,,0.000755083,,,,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,3.46E-05,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0.000140529,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,,0.00041884,,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0.000140529,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,,,0.001457988,,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,,,,0.002938339,,
,,,,,,,,0
,,,,,,,0.001560055,
,,,,,,,,0
,,,0.002174305,,,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0.000140529,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,,,0.001457988,,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,,,,0.002938339,,
,,,,,,,,0
,,,,,,,0.001560055,
,,,,,,,,0
,,,,0.00426544,,,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,,,,0.002938339,,
,,,,,,,,0
,,,,,,,0.001560055,
,,,,,,,,0
,,,,,0.004073459,,,
,,,,,,,,0
,,,,,,,0.001560055,
,,,,,,,,0
,,,,,,0.001211503,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,0.004955764,,,,,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,3.46E-05,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0.000140529,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,,0.00041884,,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0.000140529,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,,,0.001457988,,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,,,,0.002938339,,
,,,,,,,,0
,,,,,,,0.001560055,
,,,,,,,,0
,,,0.004182623,,,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0.000140529,,
,,,,,,,,0
,,,,,,,0.000628981,
,,,,,,,,0
,,,,,0.003168241,,,
,,,,,,,,0
,,,,,,,0.001886944,
,,,,,,,,0
,,,,,,0.003566691,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,0.005140255,,,,
,,,,,,,,0
,,,,,,,0.001886944,
,,,,,,,,0
,,,,,,0.003566691,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,0.002689008,,,
,,,,,,,,0
,,,,,,,0,
,,,,,,,,0
,,,,,,0,,
,,,,,,,,0
,,,,,,,0,
