period 0,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8
,,,,,,,,7829.766547
,,,,,,,7030.92794,
,,,,,,,,6313.591524
,,,,,,6313.591524,,
,,,,,,,,6313.591524
,,,,,,,5669.441967,
,,,,,,,,5091.012317
,,,,,5669.441967,,,
,,,,,,,,6313.591524
,,,,,,,5669.441967,
,,,,,,,,5091.012317
,,,,,,5091.012317,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,5091.012317,,,,
,,,,,,,,6313.591524
,,,,,,,5669.441967,
,,,,,,,,5091.012317
,,,,,,5091.012317,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,4571.597446,,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,,4105.176319,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,4571.597446,,,,,
,,,,,,,,6313.591524
,,,,,,,5669.441967,
,,,,,,,,5091.012317
,,,,,,5091.012317,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,4571.597446,,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,,4105.176319,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,4105.176319,,,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,,4105.176319,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,3686.342206,,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,,3310.24,,
,,,,,,,,3310.24
,,,,,,,2972.509942,
,,,,,,,,2669.237081
,,4105.176319,,,,,,
,,,,,,,,6313.591524
,,,,,,,5669.441967,
,,,,,,,,5091.012317
,,,,,,5091.012317,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,4571.597446,,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,,4105.176319,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,4105.176319,,,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,,4105.176319,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,3686.342206,,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,,3310.24,,
,,,,,,,,3310.24
,,,,,,,2972.509942,
,,,,,,,,2669.237081
,,,3686.342206,,,,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,,4105.176319,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,3686.342206,,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,,3310.24,,
,,,,,,,,3310.24
,,,,,,,2972.509942,
,,,,,,,,2669.237081
,,,,3310.24,,,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,,3310.24,,
,,,,,,,,3310.24
,,,,,,,2972.509942,
,,,,,,,,2669.237081
,,,,,2972.509942,,,
,,,,,,,,3310.24
,,,,,,,2972.509942,
,,,,,,,,2669.237081
,,,,,,2669.237081,,
,,,,,,,,2669.237081
,,,,,,,2396.905893,
,,,,,,,,2152.359526
,3686.342206,,,,,,,
,,,,,,,,6313.591524
,,,,,,,5669.441967,
,,,,,,,,5091.012317
,,,,,,5091.012317,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,4571.597446,,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,,4105.176319,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,4105.176319,,,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,,4105.176319,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,3686.342206,,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,,3310.24,,
,,,,,,,,3310.24
,,,,,,,2972.509942,
,,,,,,,,2669.237081
,,,3686.342206,,,,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,,4105.176319,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,3686.342206,,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,,3310.24,,
,,,,,,,,3310.24
,,,,,,,2972.509942,
,,,,,,,,2669.237081
,,,,3310.24,,,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,,3310.24,,
,,,,,,,,3310.24
,,,,,,,2972.509942,
,,,,,,,,2669.237081
,,,,,2972.509942,,,
,,,,,,,,3310.24
,,,,,,,2972.509942,
,,,,,,,,2669.237081
,,,,,,2669.237081,,
,,,,,,,,2669.237081
,,,,,,,2396.905893,
,,,,,,,,2152.359526
,,3310.24,,,,,,
,,,,,,,,5091.012317
,,,,,,,4571.597446,
,,,,,,,,4105.176319
,,,,,,4105.176319,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,3686.342206,,,
,,,,,,,,4105.176319
,,,,,,,3686.342206,
,,,,,,,,3310.24
,,,,,,3310.24,,
,,,,,,,,3310.24
,,,,,,,2972.509942,
,,,,,,,,2669.237081
