period 0,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8
,,,,,,,,114.1663787
,,,,,,,108.0189686,
,,,,,,,,114.1663787
,,,,,,102.7302732,,
,,,,,,,,114.1663787
,,,,,,,108.0189686,
,,,,,,,,114.1663787
,,,,,98.22952644,,,
,,,,,,,,114.1663787
,,,,,,,108.0189686,
,,,,,,,,114.1663787
,,,,,,102.7302732,,
,,,,,,,,114.1663787
,,,,,,,108.0189686,
,,,,,,,,114.1663787
,,,,94.40758727,,,,
,,,,,,,,114.1663787
,,,,,,,108.0189686,
,,,,,,,,114.1663787
,,,,,,102.7302732,,
,,,,,,,,114.1663787
,,,,,,,108.0189686,
,,,,,,,,114.1663787
,,,,,98.21927763,,,
,,,,,,,,114.1663787
,,,,,,,108.0189686,
,,,,,,,,114.1663787
,,,,,,102.696182,,
,,,,,,,,114.1663787
,,,,,,,107.8945646,
,,,,,,,,113.6663787
,,,90.96221019,,,,,
,,,,,,,,114.1663787
,,,,,,,108.0189686,
,,,,,,,,114.1663787
,,,,,,102.7302732,,
,,,,,,,,114.1663787
,,,,,,,108.0189686,
,,,,,,,,114.1663787
,,,,,98.21927763,,,
,,,,,,,,114.1663787
,,,,,,,108.0189686,
,,,,,,,,114.1663787
,,,,,,102.696182,,
,,,,,,,,114.1663787
,,,,,,,107.8945646,
,,,,,,,,113.6663787
,,,,94.28015856,,,,
,,,,,,,,114.1663787
,,,,,,,108.0189686,
,,,,,,,,114.1663787
,,,,,,102.696182,,
,,,,,,,,114.1663787
,,,,,,,107.8945646,
,,,,,,,,113.6663787
,,,,,97.84849734,,,
,,,,,,,,113.6107179
,,,,,,,107.3688239,
,,,,,,,,113.1107179
,,,,,,101.5371743,,
,,,,,,,,111.5253522
,,,,,,,105.2713429,
,,,,,,,,110.5253522
,,87.32175237,,,,,,
,,,,,,,,114.1663787
,,,,,,,108.0189686,
,,,,,,,,114.1663787
,,,,,,102.7302732,,
,,,,,,,,114.1663787
,,,,,,,108.0189686,
